"model","site","longitude","latitude","baseline","predicted","scenario","GCM"
"DGVM",176,-105.282,43.666,0.13642,0.17807,"rcp85","CESM1-CAM5"
"DGVM",176,-105.282,43.666,0.110494285714286,0.168626666666667,"rcp45","GISS-E2-H-CC"
"DGVM",176,-105.282,43.666,0.109394285714286,0.197723333333333,"rcp85","GISS-E2-H-CC"
"DGVM",176,-105.282,43.666,0.119334285714286,0.127416666666667,"rcp45","HadGEM2-AO"
"DGVM",176,-105.282,43.666,0.119028571428571,0.137043333333333,"rcp85","HadGEM2-AO"
"DGVM",176,-105.282,43.666,0.118722857142857,0.184433333333333,"rcp45","MPI-ESM-LR"
"DGVM",176,-105.282,43.666,0.119851428571429,0.192956666666667,"rcp85","MPI-ESM-LR"
"DGVM",173,-105.282,43.683,0.140965714285714,0.16922,"rcp45","CCSM4"
"DGVM",173,-105.282,43.683,0.142302857142857,0.196423333333333,"rcp85","CCSM4"
"DGVM",173,-105.282,43.683,0.130628571428571,0.190686666666667,"rcp45","CESM1-CAM5"
"DGVM",173,-105.282,43.683,0.134462857142857,0.195023333333333,"rcp85","CESM1-CAM5"
"DGVM",173,-105.282,43.683,0.110425714285714,0.153366666666667,"rcp45","GISS-E2-H-CC"
"DGVM",173,-105.282,43.683,0.108094285714286,0.205323333333333,"rcp85","GISS-E2-H-CC"
"DGVM",173,-105.282,43.683,0.10838,0.123786666666667,"rcp45","HadGEM2-AO"
