"longitude","latitude","model","var","mag","baseline","predicted"
-107.2326,38.4661,"DGVM-full-400ppm","ppt",0.9,0.19539,0.16969
-107.2326,38.4661,"DGVM-full-400ppm","ppt",1.1,0.19539,0.202843333333333
-107.2326,38.4661,"DGVM-full-400ppm","ppt",1.2,0.19539,0.22064
-107.2326,38.4661,"DGVM-full-400ppm","tmean",0.2,0.19539,0.190556666666667
-107.2326,38.4661,"DGVM-full-400ppm","tmean",4,0.19539,0.0837166666666667
-107.2326,38.4661,"DGVM-full-400ppm","tmean",2,0.19539,0.0747366666666667
-107.2409,38.4661,"DGVM-full-400ppm","ppt",1.2,0.16686,0.241186666666667
-107.2409,38.4661,"DGVM-full-400ppm","tmean",0.2,0.16686,0.1794
-107.2409,38.4661,"DGVM-full-400ppm","ppt",1.1,0.16686,0.232876666666667
-107.2409,38.4661,"DGVM-full-400ppm","tmean",4,0.16686,0.0810866666666667
-107.2409,38.4661,"DGVM-full-400ppm","tmean",2,0.16686,0.07496
-107.2409,38.4661,"DGVM-full-400ppm","ppt",0.9,0.16686,0.179823333333333
-107.2409,38.4744,"DGVM-full-400ppm","ppt",0.9,0.21238,0.203706666666667
-107.2409,38.4744,"DGVM-full-400ppm","ppt",1.1,0.21238,0.23696
-107.2409,38.4744,"DGVM-full-400ppm","ppt",1.2,0.21238,0.244223333333333
-107.2409,38.4744,"DGVM-full-400ppm","tmean",0.2,0.21238,0.207463333333333
-107.2409,38.4744,"DGVM-full-400ppm","tmean",4,0.21238,0.0897266666666667
-107.2409,38.4744,"DGVM-full-400ppm","tmean",2,0.21238,0.0875
-107.2576,38.4744,"DGVM-full-400ppm","ppt",0.9,0.204153333333333,0.176966666666667
-107.2576,38.4744,"DGVM-full-400ppm","ppt",1.1,0.204153333333333,0.209933333333333
-107.2576,38.4744,"DGVM-full-400ppm","ppt",1.2,0.204153333333333,0.22815
-107.2576,38.4744,"DGVM-full-400ppm","tmean",2,0.204153333333333,0.0742566666666667
-107.2576,38.4744,"DGVM-full-400ppm","tmean",0.2,0.204153333333333,0.21549
-107.2576,38.4744,"DGVM-full-400ppm","tmean",4,0.204153333333333,0.09576
-107.2576,38.4827,"DGVM-full-400ppm","ppt",1.2,0.202826666666667,0.278646666666667
-107.2576,38.4827,"DGVM-full-400ppm","ppt",0.9,0.202826666666667,0.2325
-107.2576,38.4827,"DGVM-full-400ppm","tmean",4,0.202826666666667,0.100606666666667
-107.2576,38.4827,"DGVM-full-400ppm","tmean",0.2,0.202826666666667,0.24138
-107.2576,38.4827,"DGVM-full-400ppm","ppt",1.1,0.202826666666667,0.242793333333333
-107.2576,38.4827,"DGVM-full-400ppm","tmean",2,0.202826666666667,0.2221
-107.2576,43.1996,"DGVM-full-400ppm","ppt",0.9,0.09403,0.0794133333333333
-107.2576,43.1996,"DGVM-full-400ppm","ppt",1.2,0.09403,0.127896666666667
-107.2576,43.1996,"DGVM-full-400ppm","tmean",0.2,0.09403,0.08228
-107.2576,43.1996,"DGVM-full-400ppm","ppt",1.1,0.09403,0.10825
-107.2576,43.1996,"DGVM-full-400ppm","tmean",4,0.09403,0.08369
-107.2576,43.1996,"DGVM-full-400ppm","tmean",2,0.09403,0.104996666666667
-107.2659,38.4411,"DGVM-full-400ppm","ppt",0.9,0.142513333333333,0.234953333333333
-107.2659,38.4411,"DGVM-full-400ppm","ppt",1.2,0.142513333333333,0.27104
-107.2659,38.4411,"DGVM-full-400ppm","tmean",0.2,0.142513333333333,0.262783333333333
-107.2659,38.4411,"DGVM-full-400ppm","tmean",4,0.142513333333333,0.111916666666667
-107.2659,38.4411,"DGVM-full-400ppm","ppt",1.1,0.142513333333333,0.259723333333333
-107.2659,38.4411,"DGVM-full-400ppm","tmean",2,0.142513333333333,0.221273333333333
